Energy,Counts,CountErr,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
6.2,24,4.8989795,0.53091804,3158.0066,0.10837319,LnL70+S,0.42254485,0.63929123,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
6.4,15,3.8729833,0.33182377,3158.0066,0.08567653,LnL70+S,0.24614724,0.41750031,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
6.6,14,3.7416574,0.30970219,3158.0066,0.082771392,LnL70+S,0.2269308,0.39247358,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
6.8,9,3,0.19909426,3158.0066,0.066364755,LnL70+S,0.13272951,0.26545902,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
7,20,4.472136,0.4424317,3158.0066,0.098930736,LnL70+S,0.34350096,0.54136244,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
7.2,17,4.1231056,0.37606694,3158.0066,0.091209632,LnL70+S,0.28485731,0.46727658,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
7.4,25,5,0.55303962,3158.0066,0.11060792,LnL70+S,0.4424317,0.66364755,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
7.6,16,4,0.35394536,3158.0066,0.08848634,LnL70+S,0.26545902,0.4424317,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
7.8,28,5.2915026,0.61940438,3158.0066,0.11705642,LnL70+S,0.50234795,0.7364608,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
8,28,5.2915026,0.61940438,3158.0066,0.11705642,LnL70+S,0.50234795,0.7364608,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
8.2,35,5.9160798,0.77425547,3158.0066,0.13087306,LnL70+S,0.64338241,0.90512854,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
8.4,27,5.1961524,0.59728279,3158.0066,0.11494713,LnL70+S,0.48233567,0.71222992,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
8.6,48,6.9282032,1.0618361,3158.0066,0.15326284,LnL70+S,0.90857324,1.2150989,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
8.8,44,6.6332496,0.97334974,3158.0066,0.14673799,LnL70+S,0.82661175,1.1200877,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
9,58,7.6157731,1.2830519,3158.0066,0.16847297,LnL70+S,1.114579,1.4515249,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
9.2,44,6.6332496,0.97334974,3158.0066,0.14673799,LnL70+S,0.82661175,1.1200877,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
9.4,48,6.9282032,1.0618361,3158.0066,0.15326284,LnL70+S,0.90857324,1.2150989,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
9.6,35,5.9160798,0.77425547,3158.0066,0.13087306,LnL70+S,0.64338241,0.90512854,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
9.8,33,5.7445626,0.7300123,3158.0066,0.12707883,LnL70+S,0.60293347,0.85709114,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
10,24,4.8989795,0.53091804,3158.0066,0.10837319,LnL70+S,0.42254485,0.63929123,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
10.2,20,4.472136,0.4424317,3158.0066,0.098930736,LnL70+S,0.34350096,0.54136244,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
10.4,16,4,0.35394536,3158.0066,0.08848634,LnL70+S,0.26545902,0.4424317,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
10.6,15,3.8729833,0.33182377,3158.0066,0.08567653,LnL70+S,0.24614724,0.41750031,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
10.8,10,3.1622777,0.22121585,3158.0066,0.069954594,LnL70+S,0.15126126,0.29117044,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
11,9,3,0.19909426,3158.0066,0.066364755,LnL70+S,0.13272951,0.26545902,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
11.2,7,2.6457513,0.15485109,3158.0066,0.058528212,LnL70+S,0.096322882,0.21337931,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
11.4,6,2.4494897,0.13272951,3158.0066,0.054186596,LnL70+S,0.078542914,0.18691611,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
11.6,4,2,0.08848634,3158.0066,0.04424317,LnL70+S,0.04424317,0.13272951,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
11.8,6,2.4494897,0.13272951,3158.0066,0.054186596,LnL70+S,0.078542914,0.18691611,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
0.2,23903,154.60595,528.77225,3158.0066,3.4201287,LnL80,525.35212,532.19237,LnL80,0.8,0.8,LnL,false,false,false,false
0.4,15687,125.24775,347.0213,3158.0066,2.7706788,LnL80,344.25062,349.79198,LnL80,0.8,0.8,LnL,false,false,false,false
0.6,10957,104.67569,242.38621,3158.0066,2.3155922,LnL80,240.07061,244.7018,LnL80,0.8,0.8,LnL,false,false,false,false
0.8,7392,85.976741,163.52276,3158.0066,1.9019418,LnL80,161.62081,165.4247,LnL80,0.8,0.8,LnL,false,false,false,false
1,4814,69.382995,106.49331,3158.0066,1.5348618,LnL80,104.95845,108.02817,LnL80,0.8,0.8,LnL,false,false,false,false
1.2,2989,54.671748,66.121418,3158.0066,1.2094257,LnL80,64.911992,67.330843,LnL80,0.8,0.8,LnL,false,false,false,false
