idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
13,90,25,1540196862,1540202284,90.366667,3513,3791,29873,32144,0,8.81117443e+06,3535.5619,3628.5956,3089.3374,2.3848955,1.222322,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.9046785,0
14,90,25,1540202284,1540207687,90.05,3792,4073,32181,34468,0,8.46857753e+06,3543.1165,3635.6448,3103.9357,2.3874206,1.9248063,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.90895344,0
15,90,25,1540207687,1540213117,90.5,4074,4358,34480,36785,0,9.17619227e+06,3557.9811,3660.8226,3109.0487,2.2466297,1.6792011,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.91045073,0
16,90,25,1540213117,1540217689,76.2,4359,4578,36800,38740,0,7.12891462e+06,3578.4702,3678.7229,3161.1181,2.2673907,2.1829871,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.92569868,0
0,90,25,1540126457,1540131875,90.3,0,250,4,2287,0,7.59963089e+06,3459.4734,3544.8566,3054.9187,2.6825982,0.82192709,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.89459934,0
1,90,25,1540131875,1540137276,90.016667,251,539,2302,4587,0,8.47219401e+06,3459.0148,3552.3438,3048.3848,2.5618766,1.1374283,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.89268599,0
2,90,25,1540137276,1540142683,90.116667,540,799,4590,6853,0,7.77102688e+06,3436.4187,3526.2314,3033.1458,2.6295283,1.2055301,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.88822339,0
3,90,25,1540142683,1540148097,90.233333,800,1077,6882,9170,0,8.92845776e+06,3438.3373,3527.9133,3044.5599,2.6318111,1.83389,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.89156588,0
4,90,25,1540148097,1540153597,91.666667,1078,1365,9177,11472,0,9.11996859e+06,3469.906,3558.728,3055.9331,2.6216362,2.0311718,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.89489641,0
5,90,25,1540153597,1540158999,90.033333,1366,1630,11517,13794,0,8.77528257e+06,3447.3048,3534.5146,3040.0934,2.6622014,2.1081068,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.89025793,0
6,90,25,1540158999,1540164415,90.266667,1631,1858,13802,16071,0,7.16820482e+06,3490.1535,3584.113,3090.5345,2.5323826,1.1765774,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.90502906,0
