idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod
15,90,25,1509466468,1509471892,90.4,3927,4197,34342,36573,0,7.56942158e+06,4115.9377,4455.1989,4312.2296,3.6456548,3.4363556,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
16,90,25,1509471892,1509477326,90.566667,4198,4459,36589,38812,0,6.87085815e+06,4077.6613,4414.981,4266.7714,3.7113292,3.0434953,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
17,90,25,1509477326,1509482730,90.066667,4460,4690,38829,41043,0,5.51112568e+06,4178.4267,4430.8889,4264.901,4.4581929,4.1782955,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
18,90,25,1509482730,1509488148,90.3,4691,4973,41049,43288,0,8.49807453e+06,4136.9599,4479.0628,4315.0839,3.5953011,3.2947727,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
19,90,25,1509488148,1509493636,91.466667,4974,5231,43299,45529,0,7.3181907e+06,4111.1586,4426.9998,4287.5939,3.8665154,3.3466898,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
20,90,25,1509493636,1509499044,90.133333,5232,5490,45571,47796,0,6.72806133e+06,4198.9585,4464.1418,4309.2377,4.2748362,4.7268423,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
21,90,25,1509499044,1509504503,90.983333,5491,5774,47816,50035,0,8.67231816e+06,4116.9646,4481.3816,4319.7914,3.4346706,3.3397302,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
22,90,25,1509504503,1509509932,90.483333,5775,6053,50094,52334,0,7.80325371e+06,4100.9404,4473.2769,4339.5963,3.3906025,4.1463889,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
23,90,25,1509509932,1509515333,90.016667,6054,6316,52346,54573,0,7.29225045e+06,4179.2661,4486.0848,4319.1698,3.8630748,2.7249328,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
24,90,25,1509515333,1509520733,90,6317,6571,54580,56816,0,6.56316566e+06,4204.9323,4455.2583,4278.3794,4.4429032,3.9363805,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
