idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
14,90,25,1510235590,1510241006,90.266667,3988,4279,31228,33455,0,7.87885686e+06,3400.5508,3531.4706,3332.4849,2.5877203,4.1228108,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.67200714,0
15,90,25,1510241006,1510246442,90.6,4280,4588,33463,35704,0,8.35246921e+06,3352.7395,3507.2185,3311.9171,2.3651051,3.1338712,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66785956,0
16,90,25,1510246442,1510250456,66.9,4589,4814,35722,37388,0,5.64661173e+06,3398.2486,3540.2238,3328.9998,2.4640479,1.8032415,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.67130435,0
0,90,25,1510159806,1510165207,90.016667,0,252,7,2208,0,5.02452417e+06,2722.6558,2901.2685,2725.452,2.59234,7.1114003,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54959683,0
1,90,25,1510165207,1510170614,90.116667,253,526,2218,4427,0,5.7850153e+06,2640.1561,2934.2648,2740.5745,1.7335741,3.5310721,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.55264634,0
2,90,25,1510170614,1510176016,90.033333,527,786,4435,6663,0,5.52916957e+06,2625.481,2889.7537,2704.7984,1.9368471,3.2270688,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54543197,0
3,90,25,1510176016,1510181425,90.15,787,1062,6667,8886,0,5.36378027e+06,2753.7271,2916.5711,2728.0085,2.7387005,6.5565936,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.55011236,0
4,90,25,1510181425,1510186827,90.033333,1063,1315,8897,11117,0,4.98567744e+06,2629.1487,2879.9873,2712.0243,2.0307473,3.3452481,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54688911,0
5,90,25,1510186827,1510192245,90.3,1316,1566,11122,13342,0,5.3826551e+06,2768.6496,2959.7263,2745.8698,2.4192642,6.7291056,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.55371416,0
6,90,25,1510192245,1510197678,90.55,1567,1828,13350,15577,0,5.06777946e+06,2716.054,2894.0863,2702.9666,2.6055094,5.2822659,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54506259,0
7,90,25,1510197678,1510203103,90.416667,1829,2071,15593,17815,0,5.5154705e+06,2676.5168,2951.4293,2789.8204,1.8292436,3.5963566,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.56257695,0
8,90,25,1510203103,1510208504,90.016667,2072,2342,17836,20043,0,5.95503225e+06,2698.6537,2954.9249,2768.5752,1.9390755,3.8922315,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.55829279,0
9,90,25,1510208504,1510213913,90.15,2343,2621,20067,22295,0,5.48743763e+06,2754.189,2925.9256,2713.0609,2.6354569,6.5205877,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54709813,0
10,90,25,1510213913,1510219359,90.766667,2622,2892,22299,24522,0,4.81679759e+06,2715.9761,2880.9001,2708.96,2.7555534,6.5375055,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54627118,0
11,90,25,1510219359,1510224793,90.566667,2893,3168,24543,26768,0,5.22942051e+06,2713.0179,2891.2581,2689.7511,2.6064082,5.3513482,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54239762,0
12,90,25,1510224793,1510230236,90.716667,3169,3407,26789,28996,0,4.72880252e+06,2765.108,2932.9044,2720.4211,2.6686736,5.8289108,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54858234,0
13,90,25,1510230236,1510235653,90.283333,3408,3672,29029,31246,0,5.20178414e+06,2717.2027,2899.7537,2696.7171,2.5557265,5.5061202,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54380235,0
14,90,25,1510235653,1510241060,90.116667,3673,3961,31253,33476,0,5.90228755e+06,2603.8047,2887.6308,2704.6179,1.8217911,3.4573544,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54539557,0
15,90,25,1510241060,1510246490,90.5,3962,4240,33486,35722,0,5.19906469e+06,2748.4766,2913.5048,2712.7759,2.7185103,6.2695536,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54704066,0
16,90,25,1510246490,1510250430,65.666667,4241,4449,35742,37378,0,4.57292817e+06,2652.6973,2906.2928,2717.9655,1.9921721,2.9583018,4,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54808716,0
0,90,25,1510159811,1510165215,90.066667,0,235,9,2211,0,8.30175368e+06,4472.7793,4735.4962,4660.4068,4.0853627,2.9784987,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93978718,0
1,90,25,1510165215,1510170619,90.066667,236,470,2221,4425,0,7.33576488e+06,4483.8724,4750.9196,4665.2082,4.0254032,2.6879015,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94075541,0
2,90,25,1510170619,1510176027,90.133333,471,727,4437,6666,0,8.37129795e+06,4470.0783,4734.5361,4673.0942,4.0701554,4.0173151,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94234565,0
3,90,25,1510176027,1510181502,91.25,728,974,6671,8896,0,8.51918732e+06,4503.4027,4771.0387,4686.2895,3.9951366,3.7466813,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94500652,0
