Median energy [keV],Density,RunPeriod,Interval
2.6906907,15.402089,17/02/2018,30
2.6926927,15.644084,17/02/2018,30
2.6946947,15.893645,17/02/2018,30
2.6966967,16.150791,17/02/2018,30
2.6986987,16.415505,17/02/2018,30
2.7007007,16.687732,17/02/2018,30
2.7027027,16.967383,17/02/2018,30
2.7047047,17.25433,17/02/2018,30
2.7067067,17.548408,17/02/2018,30
2.7087087,17.849416,17/02/2018,30
2.7107107,18.157117,17/02/2018,30
2.7127127,18.471242,17/02/2018,30
2.7147147,18.791486,17/02/2018,30
2.7167167,19.117517,17/02/2018,30
2.7187187,19.448974,17/02/2018,30
2.7207207,19.785471,17/02/2018,30
2.7227227,20.126603,17/02/2018,30
2.7247247,20.471945,17/02/2018,30
2.7267267,20.821062,17/02/2018,30
2.7287287,21.173508,17/02/2018,30
2.7307307,21.528835,17/02/2018,30
2.7327327,21.886594,17/02/2018,30
2.7347347,22.246344,17/02/2018,30
2.7367367,22.607654,17/02/2018,30
2.7387387,22.970106,17/02/2018,30
2.7407407,23.333306,17/02/2018,30
2.7427427,23.696883,17/02/2018,30
2.7447447,24.060493,17/02/2018,30
2.7467467,24.423828,17/02/2018,30
2.7487487,24.786611,17/02/2018,30
2.7507508,25.148606,17/02/2018,30
2.7527528,25.509617,17/02/2018,30
2.7547548,25.869487,17/02/2018,30
2.7567568,26.228102,17/02/2018,30
2.7587588,26.58539,17/02/2018,30
2.7607608,26.941317,17/02/2018,30
2.7627628,27.29589,17/02/2018,30
2.7647648,27.649153,17/02/2018,30
2.7667668,28.001178,17/02/2018,30
2.7687688,28.352072,17/02/2018,30
2.7707708,28.701963,17/02/2018,30
2.7727728,29.050998,17/02/2018,30
2.7747748,29.399339,17/02/2018,30
2.7767768,29.747157,17/02/2018,30
2.7787788,30.094622,17/02/2018,30
2.7807808,30.441901,17/02/2018,30
2.7827828,30.789152,17/02/2018,30
2.7847848,31.136511,17/02/2018,30
2.7867868,31.484097,17/02/2018,30
2.7887888,31.831994,17/02/2018,30
2.7907908,32.180258,17/02/2018,30
2.7927928,32.5289,17/02/2018,30
2.7947948,32.877894,17/02/2018,30
2.7967968,33.227162,17/02/2018,30
2.7987988,33.576581,17/02/2018,30
2.8008008,33.925977,17/02/2018,30
2.8028028,34.275121,17/02/2018,30
2.8048048,34.623736,17/02/2018,30
2.8068068,34.971492,17/02/2018,30
2.8088088,35.318013,17/02/2018,30
2.8108108,35.662873,17/02/2018,30
2.8128128,36.005608,17/02/2018,30
2.8148148,36.345713,17/02/2018,30
2.8168168,36.682652,17/02/2018,30
2.8188188,37.01586,17/02/2018,30
2.8208208,37.344755,17/02/2018,30
2.8228228,37.66874,17/02/2018,30
2.8248248,37.987211,17/02/2018,30
2.8268268,38.299565,17/02/2018,30
2.8288288,38.605211,17/02/2018,30
2.8308308,38.903571,17/02/2018,30
2.8328328,39.194094,17/02/2018,30
2.8348348,39.476258,17/02/2018,30
2.8368368,39.749582,17/02/2018,30
2.8388388,40.013628,17/02/2018,30
2.8408408,40.26801,17/02/2018,30
2.8428428,40.512398,17/02/2018,30
2.8448448,40.746521,17/02/2018,30
2.8468468,40.970176,17/02/2018,30
2.8488488,41.183226,17/02/2018,30
2.8508509,41.385601,17/02/2018,30
2.8528529,41.577306,17/02/2018,30
2.8548549,41.758415,17/02/2018,30
2.8568569,41.929072,17/02/2018,30
2.8588589,42.089489,17/02/2018,30
2.8608609,42.239946,17/02/2018,30
2.8628629,42.380784,17/02/2018,30
2.8648649,42.512404,17/02/2018,30
2.8668669,42.63526,17/02/2018,30
2.8688689,42.749855,17/02/2018,30
2.8708709,42.856731,17/02/2018,30
2.8728729,42.95647,17/02/2018,30
2.8748749,43.04968,17/02/2018,30
2.8768769,43.13699,17/02/2018,30
2.8788789,43.219044,17/02/2018,30
2.8808809,43.296492,17/02/2018,30
2.8828829,43.369983,17/02/2018,30
2.8848849,43.440157,17/02/2018,30
2.8868869,43.507638,17/02/2018,30
2.8888889,43.573029,17/02/2018,30
