Median energy [keV],Density,RunPeriod,Interval
3.0870871,24.946972,30/10/2017,30
3.0890891,24.70732,30/10/2017,30
3.0910911,24.47211,30/10/2017,30
3.0930931,24.239434,30/10/2017,30
3.0950951,24.007633,30/10/2017,30
3.0970971,23.780009,30/10/2017,30
3.0990991,23.55499,30/10/2017,30
3.1011011,23.330844,30/10/2017,30
3.1031031,23.110868,30/10/2017,30
3.1051051,22.889903,30/10/2017,30
3.1071071,22.671187,30/10/2017,30
3.1091091,22.451892,30/10/2017,30
3.1111111,22.231484,30/10/2017,30
3.1131131,22.013511,30/10/2017,30
3.1151151,21.79665,30/10/2017,30
3.1171171,21.579274,30/10/2017,30
3.1191191,21.365327,30/10/2017,30
3.1211211,21.146172,30/10/2017,30
3.1231231,20.924955,30/10/2017,30
3.1251251,20.707952,30/10/2017,30
3.1271271,20.485284,30/10/2017,30
3.1291291,20.261376,30/10/2017,30
3.1311311,20.040429,30/10/2017,30
3.1331331,19.818705,30/10/2017,30
3.1351351,19.594283,30/10/2017,30
3.1371371,19.369405,30/10/2017,30
3.1391391,19.144161,30/10/2017,30
3.1411411,18.920359,30/10/2017,30
3.1431431,18.697021,30/10/2017,30
3.1451451,18.47193,30/10/2017,30
3.1471471,18.247621,30/10/2017,30
3.1491491,18.023001,30/10/2017,30
3.1511512,17.800904,30/10/2017,30
3.1531532,17.583105,30/10/2017,30
3.1551552,17.363851,30/10/2017,30
3.1571572,17.148181,30/10/2017,30
3.1591592,16.93657,30/10/2017,30
3.1611612,16.728118,30/10/2017,30
3.1631632,16.523387,30/10/2017,30
3.1651652,16.323738,30/10/2017,30
3.1671672,16.124656,30/10/2017,30
3.1691692,15.936116,30/10/2017,30
3.1711712,15.746412,30/10/2017,30
3.1731732,15.562525,30/10/2017,30
3.1751752,15.382244,30/10/2017,30
3.1771772,15.208071,30/10/2017,30
3.1791792,15.037605,30/10/2017,30
3.1811812,14.873262,30/10/2017,30
3.1831832,14.712668,30/10/2017,30
3.1851852,14.556833,30/10/2017,30
3.1871872,14.405635,30/10/2017,30
3.1891892,14.260137,30/10/2017,30
3.1911912,14.119247,30/10/2017,30
3.1931932,13.981274,30/10/2017,30
3.1951952,13.848359,30/10/2017,30
3.1971972,13.72193,30/10/2017,30
3.1991992,13.595338,30/10/2017,30
3.2012012,13.471681,30/10/2017,30
3.2032032,13.350587,30/10/2017,30
3.2052052,13.231663,30/10/2017,30
3.2072072,13.1145,30/10/2017,30
3.2092092,12.998678,30/10/2017,30
3.2112112,12.885029,30/10/2017,30
3.2132132,12.773383,30/10/2017,30
3.2152152,12.659637,30/10/2017,30
3.2172172,12.546804,30/10/2017,30
3.2192192,12.433512,30/10/2017,30
3.2212212,12.319397,30/10/2017,30
3.2232232,12.203897,30/10/2017,30
3.2252252,12.086958,30/10/2017,30
3.2272272,11.969299,30/10/2017,30
3.2292292,11.848324,30/10/2017,30
3.2312312,11.723643,30/10/2017,30
3.2332332,11.59872,30/10/2017,30
3.2352352,11.468471,30/10/2017,30
3.2372372,11.336353,30/10/2017,30
3.2392392,11.202314,30/10/2017,30
3.2412412,11.063938,30/10/2017,30
3.2432432,10.927315,30/10/2017,30
3.2452452,10.784465,30/10/2017,30
3.2472472,10.636029,30/10/2017,30
3.2492492,10.485562,30/10/2017,30
3.2512513,10.330919,30/10/2017,30
3.2532533,10.173285,30/10/2017,30
3.2552553,10.014211,30/10/2017,30
3.2572573,9.8513686,30/10/2017,30
3.2592593,9.6874892,30/10/2017,30
3.2612613,9.5204388,30/10/2017,30
3.2632633,9.3516386,30/10/2017,30
3.2652653,9.1814113,30/10/2017,30
3.2672673,9.0100996,30/10/2017,30
3.2692693,8.8380635,30/10/2017,30
3.2712713,8.6669079,30/10/2017,30
