Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Fit,17549.5,0.014560715,true,0
Fit,17580.427,0.014144959,true,0
Fit,17611.355,0.013740974,true,0
Fit,17642.283,0.013348429,true,0
Fit,17673.21,0.012967005,true,0
Fit,17704.138,0.012596388,true,0
Fit,17735.066,0.012236276,true,0
Fit,17765.993,0.011886373,true,0
Fit,17796.921,0.011546394,true,0
Fit,17827.849,0.011216059,true,0
Fit,17858.776,0.010895097,true,0
Fit,17889.704,0.010583245,true,0
Fit,17920.632,0.010280246,true,0
Fit,17951.559,0.0099858521,true,0
Fit,17982.487,0.0096998206,true,0
Fit,18013.414,0.0094219163,true,0
Fit,18044.342,0.0091519104,true,0
Fit,18075.27,0.0088895804,true,0
Fit,18106.197,0.0086347101,true,0
Fit,18137.125,0.0083870893,true,0
Fit,18168.053,0.0081465137,true,0
Fit,18198.98,0.0079127846,true,0
Fit,18229.908,0.0076857089,true,0
Fit,18260.836,0.0074650989,true,0
Fit,18291.763,0.0072507722,true,0
Fit,18322.691,0.0070425513,true,0
Fit,18353.619,0.0068402639,true,0
Fit,18384.546,0.0066437423,true,0
Fit,18415.474,0.0064528238,true,0
Fit,18446.402,0.0062673498,true,0
Fit,18477.329,0.0060871664,true,0
Fit,18508.257,0.0059121242,true,0
Fit,18539.184,0.0057420776,true,0
Fit,18570.112,0.0055768852,true,0
Fit,18601.04,0.0054164098,true,0
Fit,18631.967,0.0052605177,true,0
Fit,18662.895,0.0051090791,true,0
Fit,18693.823,0.0049619679,true,0
Fit,18724.75,0.0048190615,true,0
Fit,18755.678,0.0046802407,true,0
Fit,18786.606,0.0045453897,true,0
Fit,18817.533,0.0044143959,true,0
Fit,18848.461,0.0042871498,true,0
Fit,18879.389,0.0041635451,true,0
Fit,18910.316,0.0040434785,true,0
Fit,18941.244,0.0039268495,true,0
Fit,18972.171,0.0038135606,true,0
Fit,19003.099,0.0037035167,true,0
Fit,19034.027,0.0035966258,true,0
Fit,19064.954,0.0034927981,true,0
Fit,19095.882,0.0033919467,true,0
Fit,19126.81,0.0032939869,true,0
Fit,19157.737,0.0031988364,true,0
Fit,19188.665,0.0031064153,true,0
Fit,19219.593,0.0030166459,true,0
Fit,19250.52,0.0029294528,true,0
Fit,19281.448,0.0028447626,true,0
Fit,19312.376,0.0027625039,true,0
Fit,19343.303,0.0026826076,true,0
Fit,19374.231,0.0026050063,true,0
Fit,19405.158,0.0025296346,true,0
Fit,19436.086,0.0024564289,true,0
Fit,19467.014,0.0023853275,true,0
Fit,19497.941,0.0023162703,true,0
Fit,19528.869,0.002249199,true,0
Fit,19559.797,0.0021840569,true,0
Fit,19590.724,0.0021207889,true,0
Fit,19621.652,0.0020593416,true,0
Fit,19652.58,0.0019996629,true,0
Fit,19683.507,0.0019417023,true,0
Fit,19714.435,0.0018854107,true,0
Fit,19745.363,0.0018307404,true,0
Fit,19776.29,0.0017776451,true,0
Fit,19807.218,0.0017260796,true,0
Fit,19838.146,0.0016760003,true,0
Fit,19869.073,0.0016273647,true,0
Fit,19900.001,0.0015801313,true,0
Fit,19930.928,0.0015342601,true,0
Fit,19961.856,0.0014897121,true,0
Fit,19992.784,0.0014464493,true,0
Fit,20023.711,0.001404435,true,0
Fit,20054.639,0.0013636334,true,0
Fit,20085.567,0.0013240097,true,0
Fit,20116.494,0.0012855302,true,0
Fit,20147.422,0.001248162,true,0
Fit,20178.35,0.0012118734,true,0
Fit,20209.277,0.0011766332,true,0
Fit,20240.205,0.0011424115,true,0
Fit,20271.133,0.0011091789,true,0
Fit,20302.06,0.0010769072,true,0
Fit,20332.988,0.0010455687,true,0
Fit,20363.915,0.0010151366,true,0
Fit,20394.843,0.00098558491,true,0
Fit,20425.771,0.00095688829,true,0
Fit,20456.698,0.00092902218,true,0
Fit,20487.626,0.0009019627,true,0
Fit,20518.554,0.00087568667,true,0
Fit,20549.481,0.00085017155,true,0
Fit,20580.409,0.00082539545,true,0
Fit,20611.337,0.00080133712,true,0
Fit,20642.264,0.00077797589,true,0
Fit,20673.192,0.00075529171,true,0
Fit,20704.12,0.00073326507,true,0
Fit,20735.047,0.00071187704,true,0
Fit,20765.975,0.00069110924,true,0
Fit,20796.903,0.00067094378,true,0
Fit,20827.83,0.00065136331,true,0
Fit,20858.758,0.00063235098,true,0
Fit,20889.685,0.00061389041,true,0
Fit,20920.613,0.00059596567,true,0
Fit,20951.541,0.00057856133,true,0
Fit,20982.468,0.00056166236,true,0
Fit,21013.396,0.0005452542,true,0
Fit,21044.324,0.00052932266,true,0
Fit,21075.251,0.000513854,true,0
Fit,21106.179,0.00049883485,true,0
Fit,21137.107,0.00048425224,true,0
Fit,21168.034,0.00047009354,true,0
Fit,21198.962,0.00045634652,true,0
Fit,21229.89,0.00044299927,true,0
Fit,21260.817,0.00043004026,true,0
Fit,21291.745,0.00041745824,true,0
Fit,21322.672,0.00040524233,true,0
Fit,21353.6,0.00039338193,true,0
Fit,21384.528,0.00038186676,true,0
Fit,21415.455,0.00037068684,true,0
Fit,21446.383,0.00035983245,true,0
Fit,21477.311,0.00034929419,true,0
Fit,21508.238,0.0003390629,true,0
Fit,21539.166,0.00032912969,true,0
Fit,21570.094,0.00031948592,true,0
Fit,21601.021,0.00031012322,true,0
Fit,21631.949,0.00030103344,true,0
Fit,21662.877,0.00029220868,true,0
Fit,21693.804,0.00028364124,true,0
Fit,21724.732,0.00027532368,true,0
Fit,21755.66,0.00026724874,true,0
Fit,21786.587,0.0002594094,true,0
Fit,21817.515,0.00025179881,true,0
Fit,21848.442,0.00024441034,true,0
Fit,21879.37,0.00023723755,true,0
Fit,21910.298,0.00023027417,true,0
Fit,21941.225,0.00022351413,true,0
Fit,21972.153,0.00021695152,true,0
Fit,22003.081,0.00021058061,true,0
Fit,22034.008,0.00020439584,true,0
Fit,22064.936,0.00019839178,true,0
Fit,22095.864,0.0001925632,true,0
Fit,22126.791,0.000186905,true,0
Fit,22157.719,0.00018141222,true,0
Fit,22188.647,0.00017608004,true,0
Fit,22219.574,0.00017090381,true,0
Fit,22250.502,0.00016587899,true,0
Fit,22281.429,0.00016100117,true,0
Fit,22312.357,0.00015626607,true,0
Fit,22343.285,0.00015166955,true,0
Fit,22374.212,0.00014720757,true,0
Fit,22405.14,0.00014287621,true,0
Fit,22436.068,0.00013867166,true,0
Fit,22466.995,0.00013459025,true,0
Fit,22497.923,0.00013062838,true,0
Fit,22528.851,0.00012678256,true,0
Fit,22559.778,0.00012304942,true,0
Fit,22590.706,0.00011942567,true,0
Fit,22621.634,0.00011590813,true,0
Fit,22652.561,0.0001124937,true,0
Fit,22683.489,0.00010917936,true,0
Fit,22714.416,0.00010596222,true,0
Fit,22745.344,0.00010283941,true,0
Fit,22776.272,9.980821e-05,true,0
Fit,22807.199,9.6865928e-05,true,0
Fit,22838.127,9.4009975e-05,true,0
Fit,22869.055,9.123783e-05,true,0
Fit,22899.982,8.8547047e-05,true,0
Fit,22930.91,8.593525e-05,true,0
Fit,22961.838,8.3400132e-05,true,0
Fit,22992.765,8.0939455e-05,true,0
Fit,23023.693,7.8551043e-05,true,0
Fit,23054.621,7.6232785e-05,true,0
Fit,23085.548,7.398263e-05,true,0
Fit,23116.476,7.1798589e-05,true,0
Fit,23147.404,6.9678728e-05,true,0
Fit,23178.331,6.7621171e-05,true,0
Fit,23209.259,6.5624097e-05,true,0
Fit,23240.186,6.3685735e-05,true,0
Fit,23271.114,6.1804369e-05,true,0
Fit,23302.042,5.997833e-05,true,0
Fit,23332.969,5.8206001e-05,true,0
Fit,23363.897,5.6485809e-05,true,0
Fit,23394.825,5.4816227e-05,true,0
Fit,23425.752,5.3195775e-05,true,0
