fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.06977,4.582,23.73,1509883020,2.651,3.797,1.536,4.467,16.95,1.761,3.76,125,3.877,5.222,3.273,0.08885,19.4,25.33,3.222,0.005933,10.77,background,30/10/2017
0.06531,4.467,4.839,1509888425,2.842,1.905,1.42,5.49,16.49,2.414,8.422,62.16,1.693,4.984,2.25,0.08362,18.6,3.759,3.404,0.004958,5.895,background,30/10/2017
0.07,4.266,9.001,1509893816,2.767,2.432,1.703,7.139,16.59,2.064,4.584,94.54,2.691,5.025,3.554,0.09107,18.71,11.74,3.627,0.006779,8.708,background,30/10/2017
0.05795,4.45,9.412,1509899223,2.765,2.502,1.504,6.486,17.16,1.898,3.765,89.57,2.32,5.175,2.101,0.08265,19.18,7.874,3.535,0.005748,8.767,background,30/10/2017
0.06443,4.508,12.06,1509904670,2.843,2.635,1.421,4.722,17.26,1.787,4.611,109.9,2.472,5.425,2.112,0.08137,20.21,9.226,3.369,0.005028,9.835,background,30/10/2017
0.06964,4.418,2.146,1509910029,2.705,1.378,0.9784,6.214,16.59,2.196,5.975,65.06,1.361,5.028,0.6386,0.08731,18.72,2.307,3.419,0.00466,5.794,background,30/10/2017
0.07059,4.332,8.682,1509915517,2.746,2.46,1.433,6.572,16.51,3.219,15.36,92.17,2.607,5.004,2.895,0.08841,18.62,9.486,3.404,0.005632,7.421,background,30/10/2017
0.06502,4.358,1.469,1509920229,2.816,0.9867,1.246,6.032,16.36,1.832,4.073,57.95,1.135,4.778,1.064,0.09133,17.88,1.941,3.688,0.006846,4.721,background,30/10/2017
0.06897,4.565,5.144,1509925144,2.705,1.835,1.282,6.452,17.11,1.97,4.335,80.23,1.712,5.134,1.36,0.0879,19.06,4.241,3.47,0.005818,7.219,background,30/10/2017
0.07143,4.459,3.029,1509930541,2.941,1.444,1.033,5.956,16.58,1.846,3.501,56.82,1.279,4.898,0.8718,0.09203,18.3,1.709,3.622,0.004937,5.093,background,30/10/2017
0.07568,4.302,23.93,1509935935,2.902,3.521,1.097,5.208,16.25,1.656,3.533,91.69,3.456,4.959,0.9169,0.09289,18.53,23.56,3.522,0.005451,8.326,background,30/10/2017
0.0684,4.47,15.02,1509941351,2.531,3.144,1.171,3.243,16.24,1.647,3.665,113.3,3.279,5.193,1.388,0.08275,19.01,16.18,3.034,0.004102,9.895,background,30/10/2017
