300nm SiN,200μm Si,30mm Ar Abs.,20nm Al,SB,ε,Energy [keV],LLNL,DetectorEfficiency,Efficiency,Eff • SB • ε,Eff • ε,Eff • ε • LLNL,full Eff.
0.80539762,1.82544797e-30,0.99999987,0.99410236,0.778,0.8,1.031031,0.47633382,0.80064757,0.38137552,0.49832305,0.64051806,0.30510042,0.23736812
0.81003344,1.22748796e-29,0.99999981,0.994253,0.778,0.8,1.041041,0.47729622,0.80537803,0.38440389,0.50126728,0.64430242,0.30752311,0.23925298
0.81457041,7.79335537e-29,0.99999972,0.99440044,0.778,0.8,1.0510511,0.47825862,0.81000895,0.38739376,0.50414957,0.64800716,0.30991501,0.24111388
0.8189573,4.53225545e-28,0.9999996,0.99454431,0.778,0.8,1.0610611,0.47922102,0.814489,0.39032025,0.50693795,0.6515912,0.3122562,0.24293532
0.82323379,2.51020453e-27,0.99999942,0.99468355,0.778,0.8,1.0710711,0.48018342,0.81885663,0.39320138,0.50965637,0.6550853,0.3145611,0.24472854
0.82737871,1.29680475e-26,0.99999918,0.99481836,0.778,0.8,1.0810811,0.48114582,0.82309086,0.39602673,0.51229175,0.65847269,0.31682138,0.24648704
0.83133809,6.0448252e-26,0.99999885,0.99494782,0.778,0.8,1.0910911,0.48210822,0.82713706,0.39876958,0.51481011,0.66170965,0.31901566,0.24819418
0.83516189,2.58035718e-25,0.9999984,0.99507402,0.778,0.8,1.1011011,0.48304009,0.83104657,0.40142881,0.51724339,0.66483726,0.32114305,0.24984929
0.83879136,9.93674131e-25,0.9999978,0.99519466,0.778,0.8,1.1111111,0.4837249,0.83475885,0.40379364,0.51955391,0.66780708,0.32303491,0.25132116
0.84233375,3.66016636e-24,0.99999701,0.99531229,0.778,0.8,1.1211211,0.48440972,0.83838263,0.4061207,0.52180935,0.6707061,0.32489656,0.25276952
0.84575029,1.27624515e-23,0.99999597,0.99542543,0.778,0.8,1.1311311,0.48509454,0.84187795,0.4083904,0.52398484,0.67350236,0.32671232,0.25418218
0.84908843,4.32662552e-23,0.99999463,0.9955352,0.778,0.8,1.1411411,0.48577936,0.84529288,0.41062584,0.52611029,0.6762343,0.32850067,0.25557352
0.85232292,1.40029929e-22,0.9999929,0.99564139,0.778,0.8,1.1511512,0.48646418,0.84860195,0.41281445,0.52816985,0.67888156,0.33025156,0.25693571
0.85546976,4.39372021e-22,0.9999907,0.99574399,0.778,0.8,1.1611612,0.487149,0.85182095,0.41496372,0.53017336,0.68145676,0.33197098,0.25827342
0.85853255,1.32621653e-21,0.99998791,0.99584377,0.778,0.8,1.1711712,0.48783382,0.85495395,0.41707545,0.53212334,0.68396316,0.33366036,0.25958776
0.86150238,3.87617678e-21,0.99998443,0.99593981,0.778,0.8,1.1811812,0.48851864,0.85799116,0.41914467,0.5340137,0.68639293,0.33531574,0.26087564
0.86440404,1.09706725e-20,0.99998007,0.99603357,0.778,0.8,1.1911912,0.48920345,0.86095828,0.42118376,0.53586043,0.68876662,0.33694701,0.26214477
0.86721069,3.00788683e-20,0.99997473,0.99612358,0.778,0.8,1.2012012,0.48986802,0.86382718,0.42316131,0.53764604,0.69106174,0.33852905,0.2633756
0.86996137,8.02874092e-20,0.99996811,0.99621173,0.778,0.8,1.2112112,0.4903841,0.86663808,0.42498554,0.53939554,0.69331047,0.33998843,0.264511
0.87261678,2.07586876e-19,0.99996013,0.99629622,0.778,0.8,1.2212212,0.49090018,0.86935013,0.42676414,0.54108352,0.69548011,0.34141131,0.265618
0.87522413,5.24155816e-19,0.99995036,0.99637916,0.778,0.8,1.2312312,0.49141626,0.87201179,0.42852077,0.54274014,0.69760943,0.34281662,0.26671133
0.87775061,1.28259696e-18,0.99993868,0.99645807,0.778,0.8,1.2412412,0.49193234,0.87458804,0.43023814,0.5443436,0.69967043,0.34419051,0.26778022
0.88023438,3.07142457e-18,0.99992451,0.99653564,0.778,0.8,1.2512513,0.49244841,0.87711872,0.43193572,0.54591869,0.70169497,0.34554858,0.26883679
0.88264067,7.13961421e-18,0.99990777,0.9966094,0.778,0.8,1.2612613,0.49296449,0.87956686,0.43359523,0.54744242,0.70365349,0.34687619,0.26986967
