Type,Temperature,DateTime,Timestamp
IMB,38.7168,2017-04-18.06:16:58,1492489018
IMB,38.6937,2017-04-18.06:17:03,1492489023
IMB,38.6783,2017-04-18.06:17:09,1492489029
IMB,38.7153,2017-04-18.06:17:14,1492489034
IMB,38.6352,2017-04-18.06:17:20,1492489040
IMB,38.5998,2017-04-18.06:17:25,1492489045
IMB,38.4658,2017-04-18.06:17:31,1492489051
IMB,38.4103,2017-04-18.06:17:37,1492489057
IMB,38.4165,2017-04-18.06:17:42,1492489062
IMB,38.4889,2017-04-18.06:17:48,1492489068
IMB,38.4689,2017-04-18.06:17:53,1492489073
IMB,38.4412,2017-04-18.06:17:59,1492489079
IMB,38.4489,2017-04-18.06:18:04,1492489084
IMB,38.4596,2017-04-18.06:18:10,1492489090
IMB,38.4566,2017-04-18.06:18:15,1492489095
IMB,38.4658,2017-04-18.06:18:21,1492489101
IMB,38.4458,2017-04-18.06:18:26,1492489106
IMB,38.4673,2017-04-18.06:18:32,1492489112
IMB,38.4658,2017-04-18.06:18:37,1492489117
IMB,38.5197,2017-04-18.06:18:43,1492489123
IMB,38.5474,2017-04-18.06:18:48,1492489128
IMB,38.4781,2017-04-18.06:18:54,1492489134
IMB,38.4981,2017-04-18.06:19:00,1492489140
IMB,38.4766,2017-04-18.06:19:05,1492489145
IMB,38.5043,2017-04-18.06:19:11,1492489151
IMB,38.5551,2017-04-18.06:19:16,1492489156
IMB,38.5459,2017-04-18.06:19:22,1492489162
IMB,38.5289,2017-04-18.06:19:27,1492489167
IMB,38.5751,2017-04-18.06:19:33,1492489173
IMB,38.5304,2017-04-18.06:19:38,1492489178
IMB,38.515,2017-04-18.06:19:44,1492489184
IMB,38.5505,2017-04-18.06:19:49,1492489189
IMB,38.609,2017-04-18.06:19:55,1492489195
IMB,38.6136,2017-04-18.06:20:00,1492489200
IMB,38.6552,2017-04-18.06:20:06,1492489206
IMB,38.686,2017-04-18.06:20:12,1492489212
IMB,38.7184,2017-04-18.06:20:17,1492489217
IMB,38.7369,2017-04-18.06:20:23,1492489223
IMB,38.7769,2017-04-18.06:20:28,1492489228
IMB,38.7815,2017-04-18.06:20:34,1492489234
IMB,38.8092,2017-04-18.06:20:39,1492489239
IMB,38.7908,2017-04-18.06:20:45,1492489245
IMB,38.8215,2017-04-18.06:20:50,1492489250
IMB,38.8169,2017-04-18.06:20:56,1492489256
IMB,38.7338,2017-04-18.06:21:01,1492489261
IMB,38.7846,2017-04-18.06:21:07,1492489267
IMB,38.8046,2017-04-18.06:21:12,1492489272
IMB,38.857,2017-04-18.06:21:18,1492489278
IMB,38.8771,2017-04-18.06:21:23,1492489283
IMB,38.8616,2017-04-18.06:21:29,1492489289
IMB,38.8185,2017-04-18.06:21:35,1492489295
IMB,38.7908,2017-04-18.06:21:40,1492489300
IMB,38.8693,2017-04-18.06:21:46,1492489306
IMB,38.9017,2017-04-18.06:21:51,1492489311
IMB,38.934,2017-04-18.06:21:57,1492489317
IMB,38.9649,2017-04-18.06:22:02,1492489322
IMB,38.9987,2017-04-18.06:22:08,1492489328
IMB,39.0218,2017-04-18.06:22:13,1492489333
IMB,39.0572,2017-04-18.06:22:19,1492489339
IMB,39.0588,2017-04-18.06:22:24,1492489344
IMB,39.0788,2017-04-18.06:22:30,1492489350
IMB,39.0588,2017-04-18.06:22:35,1492489355
IMB,39.0264,2017-04-18.06:22:41,1492489361
IMB,39.0603,2017-04-18.06:22:46,1492489366
IMB,39.0526,2017-04-18.06:22:52,1492489372
IMB,39.0819,2017-04-18.06:22:58,1492489378
IMB,39.0403,2017-04-18.06:23:03,1492489383
IMB,39.0634,2017-04-18.06:23:09,1492489389
IMB,39.1143,2017-04-18.06:23:14,1492489394
IMB,39.0911,2017-04-18.06:23:20,1492489400
IMB,39.0434,2017-04-18.06:23:25,1492489405
IMB,39.0249,2017-04-18.06:23:31,1492489411
IMB,39.0541,2017-04-18.06:23:36,1492489416
IMB,39.0788,2017-04-18.06:23:42,1492489422
IMB,39.0711,2017-04-18.06:23:47,1492489427
IMB,39.1312,2017-04-18.06:23:53,1492489433
IMB,39.105,2017-04-18.06:23:58,1492489438
IMB,39.0865,2017-04-18.06:24:04,1492489444
IMB,39.0649,2017-04-18.06:24:09,1492489449
IMB,39.1189,2017-04-18.06:24:15,1492489455
IMB,39.0896,2017-04-18.06:24:21,1492489461
IMB,39.0773,2017-04-18.06:24:26,1492489466
IMB,38.9895,2017-04-18.06:24:32,1492489472
IMB,38.9787,2017-04-18.06:24:37,1492489477
IMB,38.9772,2017-04-18.06:24:43,1492489483
IMB,38.991,2017-04-18.06:24:48,1492489488
IMB,39.0634,2017-04-18.06:24:54,1492489494
IMB,39.0896,2017-04-18.06:24:59,1492489499
IMB,39.1066,2017-04-18.06:25:05,1492489505
IMB,39.1343,2017-04-18.06:25:10,1492489510
IMB,39.1173,2017-04-18.06:25:16,1492489516
IMB,39.1759,2017-04-18.06:25:21,1492489521
IMB,39.2067,2017-04-18.06:25:27,1492489527
IMB,39.1574,2017-04-18.06:25:32,1492489532
IMB,39.1512,2017-04-18.06:25:38,1492489538
IMB,39.1204,2017-04-18.06:25:43,1492489543
IMB,39.1451,2017-04-18.06:25:49,1492489549
IMB,39.1682,2017-04-18.06:25:55,1492489555
IMB,39.1867,2017-04-18.06:26:00,1492489560
IMB,39.1805,2017-04-18.06:26:06,1492489566
IMB,39.1928,2017-04-18.06:26:11,1492489571
IMB,39.1466,2017-04-18.06:26:17,1492489577
IMB,39.1805,2017-04-18.06:26:22,1492489582
IMB,39.1805,2017-04-18.06:26:28,1492489588
IMB,39.1821,2017-04-18.06:26:33,1492489593
IMB,39.2067,2017-04-18.06:26:39,1492489599
IMB,39.2159,2017-04-18.06:26:44,1492489604
IMB,39.2529,2017-04-18.06:26:50,1492489610
