limits,candsInSens
7.63328465e-23,0
6.77072184e-23,1
6.88541243e-23,0
6.99122898e-23,0
7.29398238e-23,1
6.99502572e-23,0
8.3335795e-23,2
7.01388065e-23,0
1.10572398e-22,3
7.05398189e-23,0
7.05776577e-23,0
7.81341978e-23,1
7.37264955e-23,1
8.34372987e-23,0
7.88024877e-23,1
7.11908616e-23,0
7.34124472e-23,0
7.03905217e-23,0
8.77354211e-23,1
8.10407121e-23,1
7.86622705e-23,1
7.44001129e-23,2
7.58706139e-23,1
7.00496228e-23,0
8.10520264e-23,1
7.54854432e-23,0
6.57270994e-23,0
8.32376373e-23,1
8.50326194e-23,1
7.48149383e-23,1
6.87130339e-23,0
9.72360966e-23,2
8.97670133e-23,2
7.79256832e-23,1
8.78561601e-23,2
7.63766801e-23,0
7.4476472e-23,0
9.43699317e-23,2
8.22976215e-23,1
8.83991465e-23,2
7.46359705e-23,1
8.40064909e-23,0
7.70711584e-23,1
8.16743944e-23,1
8.40373776e-23,1
8.33534115e-23,1
7.55671008e-23,1
6.59192664e-23,0
9.03711288e-23,1
8.88507278e-23,1
6.99588032e-23,1
7.14650488e-23,1
8.47386905e-23,2
6.79718056e-23,0
7.97841318e-23,3
6.85518739e-23,1
8.64962695e-23,2
1.16801909e-22,3
8.34315463e-23,0
7.6944308e-23,1
6.6009048e-23,0
9.04076227e-23,2
7.79066886e-23,0
8.52154981e-23,2
7.56199827e-23,0
8.04396785e-23,1
6.68550139e-23,0
7.26765697e-23,1
9.89086285e-23,3
8.79572945e-23,2
6.8035626e-23,0
8.19353281e-23,2
8.7743353e-23,2
8.74070759e-23,1
9.29119023e-23,3
8.01383589e-23,1
7.32491098e-23,0
6.94048893e-23,1
7.90746953e-23,1
8.61832734e-23,1
7.13164118e-23,0
7.81191931e-23,0
9.03116149e-23,1
7.831538e-23,0
6.92029166e-23,0
7.50664161e-23,1
8.04699202e-23,0
7.51626301e-23,1
7.04098644e-23,0
6.8459761e-23,0
7.52562865e-23,1
7.88909333e-23,1
7.1844269e-23,0
7.88446372e-23,1
9.64951464e-23,1
8.85054675e-23,2
6.92167303e-23,0
6.98583564e-23,0
6.58957266e-23,0
8.0151645e-23,1
8.78220758e-23,2
8.29107974e-23,1
6.52546043e-23,0
8.26350162e-23,1
7.7345859e-23,0
8.37834445e-23,2
9.34055429e-23,3
6.91159951e-23,0
9.97428536e-23,1
7.08568471e-23,1
7.04735995e-23,1
7.41055791e-23,0
7.88179956e-23,1
6.86600113e-23,0
7.96976062e-23,1
8.56986329e-23,1
7.92963393e-23,1
6.75662274e-23,0
6.6223485e-23,0
7.48180478e-23,0
8.97404398e-23,1
7.04418146e-23,0
9.18603506e-23,2
7.3647092e-23,1
6.78862359e-23,0
1.06852776e-22,2
8.34003793e-23,1
6.79827915e-23,0
7.46995319e-23,2
8.20921762e-23,0
9.72066591e-23,2
8.24959475e-23,1
8.17068432e-23,1
1.14974755e-22,3
7.75948033e-23,1
7.76438654e-23,0
7.83160148e-23,1
8.43247701e-23,0
8.85934492e-23,2
9.6043338e-23,2
9.92645482e-23,3
8.73675771e-23,2
7.5345231e-23,1
7.11153546e-23,0
7.95730537e-23,1
8.68609137e-23,2
9.81109806e-23,3
7.65174955e-23,1
8.23239289e-23,2
6.98940597e-23,0
1.05810886e-22,3
7.00294093e-23,0
6.5360838e-23,0
8.53514372e-23,0
7.42595366e-23,0
8.35750535e-23,2
7.62847806e-23,0
8.82348195e-23,3
8.07556847e-23,1
9.65859588e-23,0
8.23166106e-23,2
8.41549409e-23,1
7.05801903e-23,0
9.32667764e-23,2
8.09371068e-23,0
8.65001235e-23,1
7.08176809e-23,0
8.69538444e-23,2
7.69695116e-23,1
9.21299226e-23,1
6.70948596e-23,0
1.04730813e-22,2
8.26398276e-23,2
8.41090859e-23,2
6.93949145e-23,0
1.07131259e-22,4
6.91366088e-23,0
8.58946306e-23,1
8.17915676e-23,2
6.90299786e-23,0
7.68564373e-23,1
6.4927061e-23,0
7.5279691e-23,0
7.4100649e-23,2
9.22404288e-23,1
9.13099698e-23,2
7.55777807e-23,1
9.78835433e-23,2
8.82110029e-23,2
7.8770375e-23,2
7.40801139e-23,0
7.66441634e-23,1
8.60853598e-23,1
8.54274524e-23,2
8.98235565e-23,2
6.76110495e-23,0
7.24993742e-23,0
8.32335165e-23,2
8.6797007e-23,2
7.64536913e-23,1
7.97923157e-23,1
8.1210669e-23,0
8.39896574e-23,1
1.05971269e-22,2
7.60381993e-23,0
9.29502377e-23,2
7.42873567e-23,0
8.40782395e-23,1
8.11097995e-23,1
7.02793739e-23,0
6.91592848e-23,0
6.9428756e-23,0
8.10771074e-23,1
7.46523699e-23,2
8.09951204e-23,2
7.14200517e-23,1
6.9736722e-23,0
9.22568039e-23,1
9.05007608e-23,2
8.24539629e-23,0
8.48307414e-23,2
1.0042515e-22,3
8.00502603e-23,0
6.6051358e-23,0
8.88447755e-23,2
8.51055702e-23,2
9.48306268e-23,1
8.36725928e-23,1
7.07351012e-23,0
9.68806384e-23,4
7.39837311e-23,1
6.80746409e-23,0
8.13714141e-23,1
7.61583989e-23,1
7.63242021e-23,1
1.05967793e-22,2
6.745988e-23,0
8.44950297e-23,1
7.42072501e-23,1
7.09514438e-23,1
8.23694888e-23,2
9.20155821e-23,2
6.88920488e-23,0
7.24414134e-23,1
9.11595098e-23,1
8.60054199e-23,1
9.6543086e-23,2
6.90524472e-23,0
9.23218151e-23,2
9.39520373e-23,1
8.00123702e-23,1
8.32284371e-23,1
7.51055111e-23,1
6.83460025e-23,0
7.34588306e-23,0
9.99554922e-23,2
6.96017222e-23,1
8.08129138e-23,1
1.11563829e-22,3
8.84031248e-23,2
7.82859906e-23,1
7.08437836e-23,0
9.00395836e-23,3
8.24337297e-23,1
7.20639154e-23,1
8.17356644e-23,2
6.81680043e-23,0
6.62034705e-23,0
7.31053722e-23,0
7.05871691e-23,0
6.96249216e-23,0
1.04562262e-22,3
7.11212321e-23,2
1.04100319e-22,3
8.78337109e-23,2
8.10256841e-23,1
7.15389295e-23,0
7.49446617e-23,1
8.48630218e-23,2
7.35141493e-23,0
7.7047141e-23,0
8.73708708e-23,0
8.1569392e-23,1
7.19956045e-23,1
7.17183675e-23,0
7.12356574e-23,0
7.00696177e-23,0
6.87540134e-23,1
7.98711133e-23,2
7.03199635e-23,0
7.44106894e-23,0
7.47017019e-23,1
6.78994641e-23,0
8.15811022e-23,0
9.47660647e-23,3
6.89786004e-23,1
8.62024574e-23,1
7.33211815e-23,1
8.34772256e-23,2
7.13000813e-23,0
7.11274001e-23,0
8.79513514e-23,2
7.36050142e-23,1
7.31061207e-23,0
9.14692594e-23,1
6.79284362e-23,0
1.10589502e-22,2
8.49688417e-23,2
7.45356515e-23,0
8.15935176e-23,2
9.52021365e-23,2
6.86481105e-23,0
7.27863263e-23,0
8.7892619e-23,0
8.62915805e-23,2
6.98652704e-23,0
8.4073436e-23,0
6.77103835e-23,0
1.03003156e-22,2
7.24648966e-23,0
8.29446531e-23,2
8.74605593e-23,2
7.54362784e-23,0
6.63678854e-23,0
7.34400878e-23,0
8.06876926e-23,1
7.66293682e-23,1
6.62025202e-23,0
8.46021578e-23,2
8.57028452e-23,1
7.82028653e-23,2
1.06879783e-22,2
9.9156306e-23,4
7.77741489e-23,1
9.29948744e-23,2
7.5703855e-23,1
7.81448708e-23,1
8.80936201e-23,2
7.03776039e-23,0
6.85326926e-23,0
7.28850789e-23,1
7.77411387e-23,1
6.73825309e-23,0
8.47075716e-23,2
6.95078131e-23,0
7.04357208e-23,0
1.06288717e-22,3
9.06034802e-23,1
8.12555669e-23,1
8.77210029e-23,2
9.52501017e-23,2
7.86283956e-23,0
6.92217438e-23,0
8.70215081e-23,1
8.96036584e-23,1
8.75889152e-23,2
1.01695974e-22,2
8.01650469e-23,2
6.93765874e-23,0
7.8838972e-23,1
6.78233753e-23,0
7.67875211e-23,0
7.86198706e-23,1
7.99656816e-23,0
7.11225448e-23,0
9.66822217e-23,1
7.67958287e-23,1
7.39596664e-23,0
7.90888609e-23,1
8.38879772e-23,1
8.47325353e-23,2
7.65750372e-23,0
7.09049385e-23,0
1.05800223e-22,3
7.86474712e-23,0
7.51795605e-23,0
8.68382419e-23,1
8.65438521e-23,3
7.36774862e-23,0
9.28317978e-23,1
6.85405088e-23,0
8.86275485e-23,2
8.18925023e-23,2
8.59955669e-23,1
6.58830118e-23,0
6.85798071e-23,0
7.3390077e-23,1
7.15643902e-23,0
7.36665368e-23,0
7.48231619e-23,0
1.01142925e-22,1
8.23220399e-23,2
1.07683393e-22,3
7.21692559e-23,0
8.33804731e-23,1
6.87603898e-23,0
6.91081499e-23,0
7.04398303e-23,0
7.65517835e-23,0
7.23100028e-23,1
8.515566e-23,1
9.92355341e-23,4
7.64811129e-23,0
6.58935196e-23,0
7.68224664e-23,0
8.61728099e-23,1
7.69253454e-23,0
8.36529351e-23,1
8.55202941e-23,1
6.98491502e-23,0
7.40241948e-23,0
7.50899529e-23,3
9.59277576e-23,1
8.76459199e-23,2
7.27520735e-23,0
1.00490304e-22,3
8.19315074e-23,1
8.92202459e-23,2
8.40038207e-23,1
7.00228322e-23,0
7.61986159e-23,1
9.27148073e-23,1
8.04561144e-23,2
9.27099784e-23,4
1.0299833e-22,3
7.52330013e-23,1
9.22216033e-23,1
6.74515399e-23,0
8.17422958e-23,1
7.02821687e-23,0
7.9168319e-23,1
7.90683205e-23,1
7.23361701e-23,0
6.92084677e-23,0
7.41040873e-23,1
7.41132525e-23,0
7.82307679e-23,1
8.97859767e-23,2
7.07746043e-23,0
7.70188636e-23,2
7.06556708e-23,0
6.8702083e-23,0
7.56552152e-23,0
7.66591065e-23,1
7.57239801e-23,1
8.29842105e-23,0
6.80098858e-23,0
8.11997557e-23,1
9.33099002e-23,2
8.08416295e-23,0
7.73267386e-23,1
8.42754404e-23,0
6.69050593e-23,0
7.15064839e-23,1
9.13632347e-23,3
6.85057885e-23,0
6.89679849e-23,0
8.38178819e-23,2
8.08303789e-23,1
9.20796472e-23,1
8.1419231e-23,1
8.94937781e-23,0
8.03362786e-23,1
7.42826455e-23,0
7.07596494e-23,0
8.52019497e-23,1
8.89724922e-23,1
9.48978244e-23,2
7.96622227e-23,2
8.64055153e-23,1
6.56102321e-23,0
7.13231427e-23,0
7.09803132e-23,0
8.47375223e-23,1
6.7828283e-23,0
7.34864819e-23,0
8.15687044e-23,1
8.40223952e-23,1
9.82934669e-23,3
7.36825065e-23,0
8.36469121e-23,1
7.36604443e-23,0
7.99610687e-23,0
9.10795866e-23,2
1.01770453e-22,2
7.74114032e-23,2
6.83422123e-23,0
9.24388047e-23,2
8.26102329e-23,1
6.73894248e-23,0
8.22762889e-23,1
6.74773196e-23,0
7.72155506e-23,0
7.38957976e-23,0
6.75198223e-23,0
8.9053496e-23,1
8.62123948e-23,1
8.49239791e-23,2
6.67798073e-23,0
7.55184436e-23,1
7.22742471e-23,0
8.02173056e-23,2
7.92101598e-23,1
7.94130892e-23,1
8.62544583e-23,0
6.55104904e-23,0
8.97075553e-23,1
8.33762277e-23,1
7.97027813e-23,0
7.17095351e-23,0
8.19815096e-23,1
8.71343167e-23,0
7.64215866e-23,0
8.8219718e-23,2
6.98957067e-23,1
6.98234809e-23,0
7.88434554e-23,0
7.72131047e-23,1
7.92828782e-23,0
7.49696193e-23,0
7.47695477e-23,1
8.86557103e-23,0
6.81757719e-23,0
6.88765488e-23,0
7.34902289e-23,0
7.37640804e-23,1
6.63565172e-23,0
8.48284188e-23,2
7.01198495e-23,1
7.46969026e-23,0
7.22872353e-23,0
7.57452272e-23,1
8.13166652e-23,1
8.05946999e-23,1
7.33046435e-23,0
8.25685561e-23,1
7.57066115e-23,0
7.30394469e-23,0
9.05662055e-23,1
8.71247902e-23,1
9.93791984e-23,5
9.14870444e-23,2
8.19230839e-23,1
8.95285319e-23,1
9.54217882e-23,2
1.06901857e-22,2
8.95360221e-23,2
7.99026101e-23,1
7.54593467e-23,0
9.70599731e-23,2
8.58076169e-23,1
6.97300244e-23,1
6.64147622e-23,0
8.11154004e-23,2
8.01330416e-23,1
6.80254616e-23,0
6.87445057e-23,1
1.1726663e-22,3
7.95939463e-23,0
1.10807547e-22,3
8.43702679e-23,2
7.34834943e-23,1
7.66800149e-23,1
1.03916609e-22,2
6.96044312e-23,0
9.18286092e-23,1
